entity1;pf1;mid1;pf2;mid2;pf3;mid3;pf4;entity2
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Gamal_Abdel_Nasser;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Gamal_Abdel_Nasser;http://dbpedia.org/property/birthPlace;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Cairo;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Bible;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Demonym;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Science;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Aristotle;http://dbpedia.org/property/notableStudents;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Bible;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Aristotle;http://dbpedia.org/property/notableStudents;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Biology;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Aristotle;http://dbpedia.org/property/notableStudents;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/List_of_ancient_Egyptian_towns_and_cities;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Saint_Peter;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/consort;http://dbpedia.org/resource/Anput;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Nome_(Egypt);http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Cynopolis;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Nome_(Egypt);http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Nome_(Egypt);http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Old_Testament;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Egypt;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Egypt;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/country;http://dbpedia.org/resource/Egypt;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/consort;http://dbpedia.org/resource/Nephthys;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Egyptian_temple;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Gamal_Abdel_Nasser;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/God;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Aristotle;http://dbpedia.org/property/notableStudents;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Given_name;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexander;http://dbpedia.org/ontology/wikiPageDisambiguates;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Luxor;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Climate_of_Egypt;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/siblings;http://dbpedia.org/resource/Wepwawet;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/British_Museum;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Cynopolis;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Ancient_Egypt;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Ancient_Egypt;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Eastern_European_Time;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Ahmed_Lutfi_el-Sayed;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Aristotle;http://dbpedia.org/property/notableStudents;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Ancient_history;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Aristotle;http://dbpedia.org/property/notableStudents;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/siblings;http://dbpedia.org/resource/Wepwawet;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Isis;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Wars_of_Alexander_the_Great;http://dbpedia.org/ontology/commander;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Isis;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Wars_of_Alexander_the_Great;http://dbpedia.org/ontology/commander;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/consort;http://dbpedia.org/resource/Nephthys;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Isis;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Wars_of_Alexander_the_Great;http://dbpedia.org/ontology/commander;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/property/timezone;http://dbpedia.org/resource/Eastern_European_Time;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Eastern_European_Time;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Cynopolis;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Nile;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Nile;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Governorates_of_Egypt;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Asyut;http://dbpedia.org/property/subdivisionType;http://dbpedia.org/resource/Governorates_of_Egypt;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Anubis;http://dbpedia.org/property/siblings;http://dbpedia.org/resource/Wepwawet;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Isis;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/establishedDate;http://dbpedia.org/resource/Alexander_the_Great
